Mods count: 318
 
jar name                                                                       | mod id (isMCreator)                      | mixin configs
neoforge-21.1.206 (modloader)                                                  | neoforge                                 | 
[1.21.1] SecurityCraft v1.10.jar                                               | securitycraft                            | securitycraft.mixins.json
actuallyadditions-1.3.19+mc1.21.1.jar                                          | actuallyadditions                        | actuallyadditions.mixins.json
AdvancedAE-1.4.3-1.21.1.jar                                                    | advanced_ae                              | mixins.aae.json
AE2-Things-1.4.2-beta.jar                                                      | ae2things                                | mixins.ae2things.json
ae2ct-1.21.1-1.1.0.jar                                                         | ae2ct                                    | ae2ct.mixins.json
ae2importexportcard-1.21-1.4.0.jar                                             | ae2importexportcard                      | ae2importexportcard.mixins.json
ae2jeiintegration-1.2.0.jar                                                    | ae2jeiintegration                        | 
ae2wtlib-19.2.6.jar                                                            | ae2wtlib                                 | ae2wtlib.mixins.json
    /META-INF/jarjar/de.mari_023.ae2wtlib_api-19.2.6.jar                       | ae2wtlib_api                             | 
aeinfinitybooster-neoforge-1.21.1-1.0.0.52.jar                                 | aeinfinitybooster                        | AEInfinityBooster.mixins.json
allthearcanistgear-1.21.1-21.3.2.jar                                           | allthearcanistgear                       | allthearcanistgear.mixins.json
    /META-INF/jarjar/AdditionalEntityAttributes-2.0.0+1.21.1-neoforge.jar      | additionalentityattributes               | additionalentityattributes.mixins.json, additionalentityattributes.neoforge.mixins.json
allthecompressed-1.21.1-4.3.0.jar                                              | allthecompressed                         | 
alltheleaks-1.0.1+1.21.1-neoforge.jar                                          | alltheleaks                              | alltheleaks.mixins.json
allthemodium-2.9.3_mc_1.21.1.jar                                               | allthemodium                             | allthemodium.mixins.json
alltheores-3.1.7_neoforge_1.21.1.jar                                           | alltheores                               | 
allthetweaks-1.21.1-2.6.8.jar                                                  | allthetweaks                             | allthetweaks.mixins.json
almanac-1.21.x-neoforge-1.0.2.jar                                              | almanac                                  | almanac.mixins.json
almostunified-neoforge-1.21.1-1.3.0.jar                                        | almostunified                            | almostunified-common.mixins.json, almostunified-neoforge.mixins.json
almostunified_ie-neoforge-1.21.1-1.0.0.jar                                     | almostunified_ie                         | almostunified_ie.mixins.json
Apotheosis-1.21.1-8.4.0.jar                                                    | apotheosis                               | apotheosis.mixins.json
ApothicAttributes-1.21.1-2.9.0.jar                                             | apothic_attributes                       | apothic_attributes.mixins.json
ApothicEnchanting-1.21.1-1.5.0.jar                                             | apothic_enchanting                       | apothic_enchanting.mixins.json
ApothicSpawners-1.21.1-1.3.2.jar                                               | apothic_spawners                         | apothic_spawners.mixins.json
appleskin-neoforge-mc1.21-3.0.7.jar                                            | appleskin                                | 
Applied-Mekanistics-1.6.2.jar                                                  | appmek                                   | appmek.mixins.json
appliedenergistics2-19.2.15.jar                                                | ae2                                      | ae2.mixins.json
AppliedFlux-1.21-2.1.3-neoforge.jar                                            | appflux                                  | mixins.appflux.json
architectury-13.0.8-neoforge.jar                                               | architectury                             | architectury.mixins.json, architectury-common.mixins.json
ars_additions-1.21.1-21.2.3.jar                                                | ars_additions                            | ars_additions.mixins.json
ars_caelum-1.21.1-3.0.0.jar                                                    | ars_caelum                               | ars_caelum.mixins.json
ars_controle-1.21.1-1.6.9.jar                                                  | ars_controle                             | ars_controle.mixins.json
ars_elemental-1.21.1-0.7.5.0.1.jar                                             | ars_elemental                            | ars_elemental.mixins.json
ars_nouveau-1.21.1-5.10.4.jar                                                  | ars_nouveau                              | ars_nouveau.mixins.json
    /META-INF/jarjar/nuggets-neoforge-1.21-1.0.10.41.jar                       | nuggets                                  | nuggets.neoforge.mixins.json, nuggets.mixins.json
ars_ocultas-1.21.1-2.2.0.jar                                                   | ars_ocultas                              | 
arseng-2.1.1-beta.jar                                                          | arseng                                   | arseng.mixins.json
athena-neoforge-1.21-4.0.2.jar                                                 | athena                                   | athena.mixins.json, athena-neoforge.mixins.json
balm-neoforge-1.21.1-21.0.49.jar                                               | balm                                     | balm.mixins.json, balm.neoforge.mixins.json
    /META-INF/jarjar/kuma-api-neoforge-21.0.5+1.21.jar                         | kuma_api                                 | kuma_api.neoforge.mixins.json, kuma_api.mixins.json
